Handled by,physical_id,gender,mouseline,Genotype,birthdate,End date,Confirmation of genotype,phenotype,project_title,Experiment,comment,PFA Liver,PFA Liver tumour,PFA Small intestine,PFA SI tumour,PFA Skin,PFA Skin_Hair,PFA Others,Freeze Liver,Freeze Liver tumour,Freeze Others
Alex Ang,9925D10,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",04-13-2018,05-07-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"Dox 20-25 Apr '18 (P7-12); BrdU 50ul on 23,25,27 Apr; 80ul 30 Apr, 2,4, 7 May '18; Harvest Livers for PFA fixation",1,,,,,,,,,
Alex Ang,1767A17,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-06-2018,09-10-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC experiment: Dox 16-23 July '18; Start DDC 30 July,1,,,,,,,,,
Alex Ang,1466C13,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-15-2018,08-06-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - CCl4-induced injury,On Dox food and water 9-16 July '18; 23/7 CCl4 injected 1ul/gram.,1,,,,,,,,,
Alex Ang,0968D06,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-24-2018,08-06-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - CCl4-induced injury,On Dox food and water 9-16 July '18; CCl4 injected 31/7/18,1,,,,,,,,,
Alex Ang,0968D09,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-24-2018,08-06-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - CCl4-induced injury,On Dox food and water 9-16 July '18; CCl4 experiment,1,,,,,,,,,
Alex Ang,0968D12,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-24-2018,01-16-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC experiment: Dox 16-23 July '18; Start DDC 30 July ; DDC OFF 11 Sept '18,1,,,,,,,,,
Alex Ang,0968E02,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",05-28-2018,09-10-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC experiment: Dox 16-23 July '18; Start DDC 30 July ; DDC OFF 11 Sept '18; 12 months recovery,1,,,,,,,,,
Alex Ang,0968E13,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-28-2018,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - CCl4-induced injury,CCl4 experiment ; Dox 16-23 July '18 Harvested Liver for PFA,1,,,,,,,,,
Alex Ang,0968E17,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-28-2018,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - CCl4-induced injury,CCl4 experiment ; Dox 16-23 July '18; CCl4 injection 7/8/18 Harvested Liver for PFA,1,,,,,,,,,
Alex Ang,0968E20,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-28-2018,09-10-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC experiment: Dox 16-23 July '18; Start DDC 30 July ; DDC OFF 11 Sept '18; 12 months recovery; wrong genotype,1,,,,,,,,,
Alex Ang,1793A04,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-28-2018,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - CCl4-induced injury,CCl4 experiment ; Dox 16-23 July '18 Harvested Liver for PFA,1,,,,,,,,,
Alex Ang,1793A11,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",05-28-2018,12-03-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC experiment: Dox 16-23 July '18; Start DDC 30 July ; DDC OFF 11 Sept '18,1,,,,,,,,,
Alex Ang,2883A02,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",06-22-2018,08-28-2018,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,Dox ON 31/7 ; Dox OFF 7/8/18 ; Hepatectomy 14/8/18,3,,,,,,,,,
Alex Ang,2883A03,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",06-22-2018,08-28-2018,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,Dox ON 31/7 ; Dox OFF 7/8/18 ; Hepatectomy 14/8/18,3,,,,,,,,,
Alex Ang,2883A06,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",06-22-2018,09-10-2018,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,; Dox OFF 17/08/18 ; Partial hepatectomy 27/8/18; not triple transgenic,2,,,,,,,,,
Alex Ang,2883A10,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",06-22-2018,09-10-2018,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,Dox ON 10/08/18; Dox OFF 17/08/18 ; Partial hepatectomy 27/8/18,3,,,,,,,,,
Alex Ang,2883A11,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",06-22-2018,09-10-2018,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,; Dox OFF 17/08/18 ; Partial hepatectomy 27/8/18,2,,,,,,,,,
Alex Ang,1793B02,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",06-23-2018,10-08-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - Postnatal liver expansion,; Dox OFF 17/08/18; Postnatal liver expansion P4,3,,,,,,,,,
Alex Ang,1793B12,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",06-23-2018,08-28-2018,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,Dox ON 31/7 ; Dox OFF 7/8/18 ; Hepatectomy 14/8/18,3,,,,,,,,,
Alex Ang,2255A06,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/KI)",06-26-2018,10-08-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - Postnatal liver expansion,; Dox OFF 17/08/18; Postnatal liver expansion P3,1,,,,,,,,,
Alex Ang,1794A02,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",07-09-2018,04-23-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox On 17/9/18; Dox OFF 24/9/18; Vehicle injection 1/10, 3/10, 5/10/18",1,,,,,,,,,
Alex Ang,1794A11,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(+/+), Tomato(KI/+)",07-09-2018,08-08-2018,Yes,NA,Role of Lgr5 in liver regeneration,BrdU control,Dox ON 17/9/18; Dox OFF 24/9/18 ; BrdU in drinking water 1mg/ml 1/10-3/10/18,1,,,,,,,,,
Alex Ang,1794A12,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",07-09-2018,10-15-2018,Yes,NA,Role of Lgr5 in liver regeneration,BrdU control,Dox ON 17/9/18; Dox OFF 24/9/18 ; BrdU in drinking water 1mg/ml 1/10-3/10/18,1,,,,,,,,,
Alex Ang,1794A13,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",07-09-2018,10-15-2018,Yes,NA,Role of Lgr5 in liver regeneration,BrdU control,Dox ON 17/9/18; Dox OFF 24/9/18 ; BrdU in drinking water 1mg/ml 1/10-3/10/18,1,,,,,,,,,
Alex Ang,1794A18,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",07-09-2018,10-15-2018,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,Dox ON 17/9/18; Dox OFF 24/9/18; 2/3 hepatectomy 1/10/18; BrdU in drinking water 1mg/ml 1/10-3/10/18,1,,,,,,,,,
Alex Ang,2255C01,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/KI)",07-19-2018,11-25-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,"Dox ON 10/9/18; Dox OFF 17/9/18; DDC Start 21/9; DDC Stop 23/11/18; mouse developed lymphoma, metastatic tumours appeared on liver",1,,,,,,,,,
Alex Ang,2255C14,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",07-19-2018,06-18-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,DEN experiment: Injected with DEN 31/7/18 Dox On 9 Aug 18 ; Dox OFF 15/8/18,1,,,,,,,,,
Alex Ang,2255C18,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/KI)",07-19-2018,06-18-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,DEN experiment: Injected with DEN 31/7/18 Dox On 9 Aug 18 ; Dox OFF 15/8/18,1,,,,,,,,,
Alex Ang,2255C19,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/KI)",07-19-2018,06-18-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,DEN experiment: Injected with DEN 31/7/18 Dox On 9 Aug 18 ; Dox OFF 15/8/18,1,,,,,,,,,
Alex Ang,2255C20,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",07-19-2018,04-23-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox On 17/9/18; Dox OFF 24/9/18 ; 3mg TAM injection 1/10, 3/10, 5/10/18",1,,,,,,,,,
Alex Ang,2883B05,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",07-29-2018,11-25-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,Dox ON 10/9/18;Dox OFF 17/9/18; DDC Start 21/9; DDC Stop 23/11/18,,,,,,,,,,
Alex Ang,2883B06,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",07-29-2018,05-21-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,Dox ON 10/9/18;Dox OFF 17/9/18; DDC Start 21/9; DDC Stop 23/11/18; 6 months recovery,1,,,,,,,,,
Alex Ang,2883B11,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",07-29-2018,05-21-2019,Wrong genotype,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,Dox ON 10/9/18;Dox OFF 17/9/18; DDC Start 21/9; DDC Stop 23/11/18; 6 months recovery; no RFP,1,,,,,,,,,
Alex Ang,1794B03,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-01-2018,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,P12 Dox control; Harvest liver for PFA,1,,,,,,,,,
Alex Ang,1794B17,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-01-2018,08-16-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN-induced injury,Mum on Dox P7-P12; DEN injection 80ul 13/8/18 Harvested liver for PFA at P15,1,,,,,,,,,
Alex Ang,1767B01,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-20-2018,09-10-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN-induced injury,"Reserve/ 31 Aug'18: Dox ON; 1 Sept '18 DOX Off (P12), DEN injection at 25ug/g BW",1,,,,,,,,,
Alex Ang,1767B05,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-20-2018,03-06-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,No Dox Control,1,,,,,,,,,
Alex Ang,2883C07,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-24-2018,09-14-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN-induced injury,Dox ON 31/8; Dox OFF 5/9; DEN injection 5/9,1,,,,,,,,,
Alex Ang,2883C10,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-24-2018,11-05-2018,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,"Dox On 15/10; Dox OFF 22/10; Partial hepatectomy 24/10, BrdU water;",1,,,,,,,,,
Alex Ang,1793C01,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-25-2018,09-08-2018,Yes,NA,Role of Lgr5 in liver regeneration,BrdU control,Dox ON 31/8; Dox OFF 5/9,1,,,,,,,,,
Alex Ang,1793C04,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-25-2018,11-05-2018,Yes,NA,Role of Lgr5 in liver regeneration,BrdU control,Dox On 15/10; Dox OFF 22/10; 24/10 BrdU water,1,,,,,,,,,
Alex Ang,1793C17,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-25-2018,09-08-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN-induced injury,Dox ON 31/8; Dox OFF 5/9; DEN injection 5/9,1,,,,,,,,,
Alex Ang,2901A03,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-27-2018,07-10-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,8 Sept '18 DEN injection at P12; Dox ON 17/9/18; Dox OFF 24/9/18,,1,,,,,,,,
Alex Ang,2901A06,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",08-27-2018,07-10-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,8 Sept '18 DEN injection at P12;Dox ON 17/9/18; Dox OFF 24/9/18,,1,,,,,,,,
Alex Ang,3469A09,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",08-30-2018,07-10-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,11 Sept '18 DEN injection at P12; Dox ON 20/9/18; Dox OFF 21/9/18,,1,,,,,,,,
Alex Ang,3469A10,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",08-30-2018,07-10-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,11 Sept '18 DEN injection at P12; Dox ON 20/9/18; Dox OFF 21/9/18,,1,,,,,,,,
Alex Ang,4038A09,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",09-18-2018,10-17-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,Dox ON 10/10/18; Dox OFF 17/10/18,1,,,,,,,,,
Alex Ang,2734A02,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",09-19-2018,10-17-2018,Wrong genotype,,Role of Lgr5 in liver regeneration,Lineage tracing,Dox ON 10/10/18; Dox OFF 17/10/18,1,,,,,,,,,
Alex Ang,2734A17,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",09-19-2018,01-14-2019,Correct ge notype but no RFP,,Role of Lgr5 in liver regeneration,partial hepatectomy,Dox ON 5/11/18; Dox OFF 12/11/18; 8/1/19 PH,1,,,,,,,,,
Alex Ang,2734A19,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",09-19-2018,10-17-2018,Correct ge notype but no RFP,,Role of Lgr5 in liver regeneration,Lineage tracing,Dox ON 10/10/18; Dox OFF 17/10/18,1,,,,,,,,,
Alex Ang,3469B11,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",09-23-2018,10-29-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,Dox ON 22/10; Dox OFF 29/10 RFP+,1,,,,,,,,,
Alex Ang,4033A17,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",09-29-2018,10-29-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,Dox ON 22/10; Dox OFF 29/10 RFP+,1,,,,,,,,,
Alex Ang,1793E01,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",10-04-2018,10-19-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN-induced injury,Dox ON P7 11/10; Dox OFF 16/10; DEN injection 16/10 P12; harvest at 72h,1,,,,,,,,,
Alex Ang,1793E05,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",10-04-2018,10-19-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,Dox ON P7 11/10; Dox OFF 16/10; Ctrl for Dox P7-P12; harvest at P15,1,,,,,,,,,
Alex Ang,4033B02,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",10-26-2018,01-21-2019,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,"19 Dec'18: Begin DOX; 20 Dec'18 Stop DOX; 15 Jan'19 Partial Hepatecomy, BrdU water 1mg/ml for 48 hours.",2,,,,,,,,,
Alex Ang,4033B05,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",10-26-2018,01-14-2019,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,Reserved / 19 Dec'18: Begin DOX; 26 Dec'18 Stop DOX; 8/1/19 PH,2,,,,,,,,,
Alex Ang,4033B06,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",10-26-2018,03-06-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,No Dox Control,1,,,,,,,,,
Alex Ang,4405A17,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",11-10-2018,03-06-2019,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,"Dox Food and water 20/1 - 31/1/19; PH 1/3/19, BrdU in drinking water 1mg/ml for 5 days, harvest immediately",2,,,,,,,,,
Alex Ang,4405A19,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",11-10-2018,03-06-2019,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,"Dox Food and water 20/1 - 31/1/19; PH 1/3/19, BrdU in drinking water 1mg/ml for 5 days, harvest immediately",2,,,,,,,,,
Alex Ang,4033C10,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",11-16-2018,03-06-2019,Yes,NA,Role of Lgr5 in liver regeneration,Partial hepatectomy,"Dox Food and water 20/1 - 31/1/19; PH 1/3/19, BrdU in drinking water 1mg/ml for 5 days, harvest immediately",2,,,,,,,,,
Alex Ang,4248A02,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",11-18-2018,03-13-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,"DDC Exp: Dox ON 18/1/19; Dox OFF 25/1/19; DDC ON 31/1/19; DDC OFF 13/3/19, Harvest immediately",1,,,,,,,,,
Alex Ang,4248A06,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",11-18-2018,03-13-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,"DDC Exp: Dox ON 18/1/19; Dox OFF 25/1/19; DDC ON 31/1/19; DDC OFF 13/3/19, Harvest immediately; low labelling efficiency",1,,,,,,,,,
Alex Ang,4405B04,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-03-2018,03-13-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,"DDC Exp: Dox ON 18/1/19; Dox OFF 25/1/19; DDC ON 31/1/19; DDC OFF 13/3/19, Harvest immediately",1,,,,,,,,,
Alex Ang,4405B06,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-03-2018,06-12-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC Exp: Dox ON 18/1/19; Dox OFF 25/1/19; DDC ON 31/1/19; DDC OFF 14/3/19; harvest for 3 months recovery,1,,,,,,,,,
Alex Ang,4405B07,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-03-2018,09-10-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC Exp: Dox ON 18/1/19; Dox OFF 25/1/19; DDC ON 31/1/19; 6 months recovery,1,,,,,,,,,
Alex Ang,4405B08,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-03-2018,09-10-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC Exp: Dox ON 18/1/19; Dox OFF 25/1/19; DDC ON 31/1/19; 6 months recovery,1,,,,,,,,,
Alex Ang,3469D10,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-08-2018,09-10-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,Dox Food 24/1 - 31/119; DDC Start 11/2/19; DDC STOP 25/3/19; 6 months recovery,1,,,,,,,,,
Alex Ang,4248B19,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-13-2018,11-19-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,Dox Food 24/1 - 31/119;DDC Start 11/2/19 ; DDC Stop 25/3/19; harvested earlier due to lesion on backside,1,,,,,,,,,
Alex Ang,5743A01,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-06-2019,04-23-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,Dox Food and water 1/3/19 - 7/3/19; DDC Feed 9 Apr - 23 Apr 2019,1,,,,,,,,,
Alex Ang,5743A05,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-06-2019,06-18-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,No Dox Ctrl - 3 May '19 Start DDC; 13 Jun '19 Stop DDC,1,,,,,,,,,
Alex Ang,5743A18,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-06-2019,04-23-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,Dox Food and water 1/3/19 - 7/3/19; DDC Feed 9 Apr - 23 Apr 2019,1,,,,,,,,,
Alex Ang,6322A01,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-18-2019,06-12-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC Start 26 Apr '19; DDC Stop 7 June '19; Dox 3-10 June '19; low labelling efficiency,1,,,,,,,,,
Alex Ang,6322A02,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-18-2019,06-12-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC Start 26 Apr '19; DDC Stop 7 June '19; Dox 3-10 June '19;,1,,,,,,,,,
Alex Ang,6322A19,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-18-2019,12-03-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC Start 26 Apr '19; DDC Stop 7 June '19; Dox 3-10 June '19;,1,,,,,,,,,
Alex Ang,4405E17,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-05-2019,06-18-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,No Dox Ctrl - 3 May '19 Start DDC; 13 Jun '19 Stop DDC,1,,,,,,,,,
Alex Ang,6367A03,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-07-2019,06-18-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,No Dox Ctrl - 3 May '19 Start DDC; 13 Jun '19 Stop DDC,1,,,,,,,,,
Alex Ang,6322B06,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-13-2019,12-03-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC Start 26 Apr '19; DDC Stop 7 June '19; Dox 3-10 June '19;,1,,,,,,,,,
Alex Ang,6322B07,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-13-2019,03-10-2020,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC Start 26 Apr '19; DDC Stop 7 June '19; Dox 3-10 June '19; 9 months recovery,1,,,,,,,,,
Alex Ang,6322B09,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-13-2019,03-10-2020,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DDC-induced injury,DDC Start 26 Apr '19; DDC Stop 7 June '19; Dox 3-10 June '19; 9 months recovery,1,,,,,,,,,
Alex Ang,5743B01,Female,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",03-27-2019,08-06-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - CDE-induced injury,Dox ON 23/5/19 - 30/5/19; CDE start 19/6/19 - 31/7/19; Harvest immediately after CDE,1,,,,,,,,,
Alex Ang,5743B02,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-27-2019,10-01-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - CDE-induced injury,Dox ON 23/5/19 - 30/5/19; CDE start 19/6/19 -31/7/19,1,,,,,,,,,
Alex Ang,5743B03,Female,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",03-27-2019,10-01-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - CDE-induced injury,Dox ON 23/5/19 - 30/5/19; CDE start 19/6/19 -31/7/19,1,,,,,,,,,
